ID,VaccEndorse,PreferCAM,SpiritKnow,StrongFaith,NoRelig,CRT,Openness
1,0,7,3,1,0,1,14
2,0,7,6,1,0,0,10
8,0,4,7,0,1,1,12
26,0,4,6,1,0,0,12
32,0,1,2,1,0,0,13
60,0,2,2,0,0,2,7
68,0,1,6,0,0,0,9
93,0,6,6,1,0,1,8
99,0,2,4,1,0,0,11
101,0,2,5,1,0,0,11
123,0,5,5,1,0,1,10
131,0,6,6,1,0,0,12
176,0,7,3,1,0,1,12
180,0,2,3,0,0,1,9
215,0,5,3,1,0,0,13
239,0,1,1,0,0,0,11
255,0,4,5,0,0,1,14
258,0,5,4,1,0,0,13
261,0,1,4,0,0,0,8
264,0,1,4,0,0,0,13
271,0,7,5,1,0,0,14
276,0,1,6,1,0,3,13
288,0,4,3,0,0,1,11
292,0,7,7,0,0,1,14
315,0,7,7,1,0,0,14
342,0,2,4,1,0,0,9
343,0,4,2,0,0,0,11
344,0,7,7,1,0,0,13
347,0,7,6,0,0,0,13
359,0,1,4,1,0,1,8
463,0,3,4,0,0,1,12
497,0,3,4,1,0,1,14
503,0,2,4,1,0,1,11
504,0,1,7,0,1,0,12
507,0,1,6,0,0,0,13
522,0,6,6,1,0,0,13
550,0,1,2,0,1,1,13
558,0,3,6,1,0,0,10
568,0,1,4,1,0,2,6
571,0,1,4,1,0,0,14
621,0,7,7,0,0,0,14
646,0,1,5,1,0,1,12
656,0,1,5,1,0,0,13
747,0,7,2,1,0,0,10
814,0,1,7,1,0,0,13
821,0,7,4,1,0,1,6
831,0,1,6,0,0,2,14
838,0,2,3,1,0,0,13
839,0,2,4,0,0,0,11
871,0,5,3,1,0,0,13
900,0,4,6,1,0,1,13
930,0,6,7,0,0,0,13
932,0,7,2,0,0,1,10
947,0,1,4,0,0,0,12
961,0,6,1,0,0,1,11
971,0,2,6,1,0,0,12
973,0,2,3,0,0,0,7
1026,0,3,4,1,0,1,12
1068,0,1,7,0,0,1,2
1069,0,1,5,1,0,0,12
1072,0,1,6,0,0,0,14
1075,0,6,5,0,0,0,14
1080,0,2,7,0,0,0,14
1126,0,5,3,0,0,0,11
1162,0,7,7,1,0,0,13
1176,0,7,7,0,0,1,10
18,1,1,7,0,0,0,13
90,1,1,4,1,0,0,14
142,1,2,6,0,0,3,10
143,1,1,3,0,0,1,13
159,1,4,3,0,0,2,8
222,1,4,2,1,0,0,13
245,1,7,7,0,0,0,10
260,1,2,7,0,0,0,8
269,1,7,1,1,0,0,13
289,1,1,7,0,0,1,8
305,1,7,7,1,0,0,11
307,1,4,5,1,0,1,12
336,1,1,6,1,0,0,12
340,1,1,7,1,0,2,12
354,1,3,7,1,0,0,14
392,1,3,2,0,0,1,14
450,1,1,2,1,0,2,11
486,1,3,5,1,0,1,7
539,1,2,4,1,0,0,11
554,1,6,7,1,0,0,14
574,1,4,7,0,0,0,13
588,1,1,6,0,0,0,11
613,1,1,5,1,0,0,13
671,1,2,5,0,0,1,14
679,1,4,2,0,0,0,14
737,1,1,4,1,0,0,14
766,1,1,2,1,0,0,10
877,1,1,6,0,0,0,9
880,1,4,3,1,0,1,13
933,1,1,2,0,0,0,12
935,1,1,1,0,0,1,7
956,1,3,3,1,0,1,14
981,1,7,7,1,0,0,2
1048,1,2,3,1,0,0,8
1131,1,3,6,0,0,0,14
1133,1,4,5,0,0,0,12
1198,1,6,3,0,0,1,11
1202,1,6,3,0,0,0,14
1216,1,6,6,0,0,1,14
30,2,3,3,1,0,0,9
36,2,1,4,0,0,2,12
54,2,3,2,0,0,0,8
62,2,7,2,0,0,0,10
75,2,6,6,1,0,0,14
86,2,2,6,1,0,0,12
97,2,2,2,1,0,1,12
104,2,1,5,0,0,0,9
107,2,4,3,0,0,0,9
112,2,1,6,1,0,2,10
115,2,2,6,0,0,2,11
117,2,2,2,1,0,2,12
119,2,1,2,1,0,1,11
122,2,2,5,0,0,0,12
132,2,1,3,0,0,1,10
139,2,1,5,0,0,0,14
140,2,4,3,0,0,1,10
151,2,7,3,0,0,0,10
154,2,3,1,0,0,0,10
158,2,1,2,1,0,0,11
160,2,2,6,0,0,2,8
164,2,3,1,0,0,0,12
174,2,1,3,1,0,0,11
195,2,5,2,1,0,1,12
201,2,2,3,0,0,2,12
216,2,1,4,0,0,0,12
224,2,3,6,1,0,0,10
236,2,5,1,1,0,0,12
237,2,2,2,1,0,1,11
241,2,1,1,0,1,0,8
248,2,1,5,1,0,0,12
256,2,1,3,0,0,0,12
257,2,3,2,1,0,0,12
272,2,1,2,0,0,1,11
278,2,1,4,0,0,0,10
295,2,2,5,0,0,1,13
319,2,7,3,1,0,0,12
322,2,3,2,1,0,0,11
324,2,6,4,0,0,0,12
363,2,7,4,0,0,0,12
365,2,1,3,1,0,1,10
366,2,7,7,1,0,0,14
371,2,5,5,0,0,0,14
388,2,3,2,0,0,0,11
393,2,7,2,1,0,0,13
401,2,2,4,1,0,0,10
420,2,6,4,0,0,0,12
431,2,7,4,1,0,0,4
436,2,2,4,1,0,3,12
437,2,7,1,1,0,0,13
464,2,1,5,0,0,0,14
467,2,2,1,0,0,0,12
468,2,2,3,0,0,0,11
472,2,2,2,1,0,0,13
483,2,2,2,0,0,0,6
514,2,1,3,1,0,0,13
523,2,1,5,1,0,1,11
534,2,7,4,1,0,0,8
541,2,2,6,0,1,3,12
547,2,2,5,1,0,0,13
555,2,2,2,1,0,1,11
584,2,5,4,0,0,3,11
605,2,1,7,1,0,1,13
608,2,3,5,1,0,0,14
614,2,1,7,0,0,0,8
616,2,2,4,1,0,3,11
622,2,2,7,0,0,0,2
634,2,2,2,1,0,1,11
636,2,7,2,1,0,1,11
640,2,2,2,0,0,0,12
644,2,2,7,1,1,0,14
648,2,2,1,1,0,0,8
651,2,1,2,1,0,0,9
664,2,2,4,0,0,0,11
665,2,3,2,0,0,3,11
672,2,1,5,0,0,0,9
687,2,3,7,0,0,0,14
713,2,1,3,1,0,2,13
729,2,3,3,1,0,0,9
733,2,2,4,1,0,0,10
743,2,2,2,0,0,0,12
756,2,1,2,0,0,0,9
770,2,3,3,0,0,0,9
795,2,6,3,1,0,2,6
796,2,1,2,0,0,0,9
803,2,1,5,0,0,0,10
815,2,2,6,1,1,1,13
853,2,7,6,0,0,0,13
867,2,4,2,1,0,0,13
891,2,1,3,0,0,0,11
895,2,7,5,0,0,1,12
905,2,1,1,0,0,0,13
907,2,5,7,1,0,0,13
962,2,1,3,0,0,0,10
964,2,5,2,1,0,0,7
969,2,1,2,1,0,0,9
980,2,2,6,0,0,0,8
988,2,2,7,0,0,0,8
992,2,2,2,0,0,2,8
997,2,3,4,0,0,1,12
1000,2,5,4,0,0,0,11
1009,2,1,1,1,0,0,14
1011,2,1,7,0,0,2,14
1025,2,1,1,1,0,0,7
1032,2,1,5,0,0,3,13
1040,2,3,6,0,0,0,14
1042,2,3,1,1,0,0,12
1051,2,5,2,1,0,1,9
1058,2,2,4,0,0,0,11
1067,2,2,1,0,0,0,6
1081,2,1,6,1,0,0,12
1087,2,1,2,1,0,0,9
1105,2,1,1,0,0,0,2
1106,2,5,1,0,0,1,7
1122,2,1,1,0,0,0,12
1134,2,7,6,0,0,3,11
1148,2,3,6,0,0,0,13
1150,2,1,4,1,0,0,13
1171,2,1,5,0,0,1,12
1181,2,1,2,0,0,0,12
1184,2,6,5,0,0,0,8
1196,2,5,1,1,0,0,5
1199,2,3,5,0,0,1,9
1205,2,1,2,0,0,0,9
1215,2,3,4,0,0,0,6
1217,2,6,5,0,0,0,13
1218,2,2,5,0,0,0,12
1221,2,2,4,1,0,0,2
1236,2,1,2,0,0,0,11
1243,2,1,3,0,0,0,10
1246,2,4,4,0,0,1,9
1251,2,7,7,1,0,0,13
3,3,1,7,1,0,0,12
7,3,4,6,1,1,0,12
9,3,1,2,1,0,0,13
11,3,4,4,1,0,0,14
12,3,1,5,1,0,0,11
14,3,3,4,1,0,0,12
16,3,1,5,1,0,1,13
19,3,1,7,0,0,1,8
20,3,2,7,1,0,0,14
23,3,1,6,0,0,0,12
24,3,1,6,1,0,0,12
25,3,1,5,0,0,0,11
28,3,5,4,1,0,1,11
31,3,2,5,1,0,0,7
33,3,2,4,1,0,0,12
34,3,1,1,1,0,0,10
35,3,2,5,1,0,3,12
37,3,1,7,1,0,0,13
40,3,3,3,1,0,0,11
41,3,7,5,1,0,0,10
42,3,4,3,1,0,1,12
44,3,3,4,1,0,0,14
45,3,6,5,0,0,0,11
46,3,3,1,0,0,0,6
49,3,2,1,1,0,0,8
53,3,2,2,0,0,0,12
55,3,1,2,1,0,0,7
59,3,1,7,0,0,0,10
63,3,1,1,1,0,1,11
66,3,3,5,0,0,0,14
67,3,1,7,0,0,0,14
71,3,1,3,1,0,0,12
73,3,1,7,0,0,0,14
74,3,4,7,0,0,0,2
77,3,2,6,0,0,0,9
78,3,1,5,1,0,0,14
82,3,3,5,0,0,0,8
83,3,1,2,0,0,0,11
84,3,1,1,1,0,0,11
85,3,2,5,1,0,3,12
87,3,2,5,0,0,0,14
88,3,4,3,0,0,0,14
91,3,1,5,0,0,3,11
96,3,1,5,0,0,0,8
100,3,1,1,1,0,0,12
102,3,1,4,0,0,2,13
105,3,1,3,0,0,0,11
106,3,1,5,0,0,0,10
111,3,2,2,0,0,1,11
113,3,1,1,0,0,2,6
114,3,4,2,1,0,0,12
124,3,1,3,1,0,1,8
