ID,Sex,Age,Education,Condition,GasBenefits,GasRisks,GasAccidents,GasControl,PresBenefits,PresRisks,PresAccidents,PresControl,NuclearBenefits,NuclearRisks,NuclearAccidents,NuclearControl,GasBenefitsPost,GasRisksPost,GasAccidentsPost,GasControlPost,PresBenefitsPost,PresRisksPost,PresAccidentsPost,PresControlPost,NuclearBenefitsPost,NuclearRisksPost,NuclearAccidentsPost,NuclearControlPost
4,F,20,3,HB,8,7,8,8,8,8,5,4,4,9,9,5,8,7,8,8,8,8,5,4,4,9,9,5
5,M,19,2,HB,8,3,2,8,4,8,8,5,8,9,8,5,6,3,2,8,6,8,4,5,6,8,4,4
6,M,19,1,HB,3,4,5,2,5,6,6,8,7,6,7,6,9,7,4,7,4,5,5,4,1,10,10,1
26,F,32,5,HB,6,3,7,3,7,4,3,7,2,9,7,1,7,3,6,4,6,6,4,7,3,8,7,2
27,M,21,3,HB,10,3,5,4,5,7,5,1,3,9,8,5,7,4,4,4,5,5,2,2,4,8,7,2
30,F,26,5,HB,6,3,3,7,5,5,3,10,5,6,5,4,6,3,3,7,5,5,3,10,5,6,5,4
33,F,20,4,HB,8,3,5,9,2,5,3,3,7,10,10,7,9,3,3,8,10,5,2,8,9,10,9,6
36,M,22,3,HB,8,5,5,6,3,8,4,3,4,7,7,5,9,6,5,6,5,5,4,5,5,7,7,5
43,M,21,4,HB,8,8,10,4,4,9,10,10,8,10,7,2,8,6,8,6,4,9,9,10,6,9,7,3
55,F,20,3,HB,6,4,5,4,8,6,5,5,1,10,10,10,8,5,5,4,9,5,5,4,1,10,10,10
59,M,19,2,HB,5,6,4,6,4,6,3,7,8,7,7,6,7,5,5,6,5,8,7,8,6,5,4,6
63,M,18,1,HB,8,6,4,7,6,5,3,8,9,8,8,6,8,6,4,7,6,5,3,8,9,8,8,6
67,F,25,5,HB,5,5,6,6,2,8,6,2,6,5,6,5,5,5,4,8,3,5,5,5,5,5,5,5
76,F,20,3,HB,5,5,5,3,8,3,3,2,5,6,8,2,8,3,3,2,9,3,2,2,8,6,3,3
81,F,21,4,HB,8,5,6,7,7,5,3,3,9,7,7,3,8,5,6,7,7,5,3,3,9,7,7,3
99,F,19,2,HB,7,6,3,3,4,7,7,6,5,7,7,4,10,2,2,8,9,8,1,9,5,4,8,3
105,F,21,4,HB,10,5,3,9,1,10,6,7,2,10,4,5,10,3,3,9,2,10,5,8,5,10,3,2
108,F,20,3,HB,8,6,3,1,5,8,2,1,10,10,6,1,9,4,4,2,9,6,3,1,6,10,9,1
117,M,19,2,HB,9,2,2,5,6,5,3,7,4,7,5,3,9,2,2,5,8,8,5,5,5,8,5,5
126,F,23,3,HB,8,5,5,7,5,8,4,8,5,10,8,3,9,4,4,8,8,3,3,9,8,7,5,3
128,F,22,4,HB,7,8,10,4,1,9,9,1,4,10,10,2,5,9,10,2,1,9,10,4,1,10,10,2
134,F,28,5,HB,7,2,2,5,2,9,7,1,4,10,10,1,8,2,2,2,5,6,5,2,5,10,10,1
136,M,21,4,HB,8,3,2,8,6,3,5,5,4,8,8,4,9,3,4,8,6,4,4,5,7,8,8,5
137,F,22,4,HB,5,5,5,5,2,8,7,4,2,8,8,1,5,4,4,4,3,8,7,2,3,9,9,1
138,M,21,4,HB,5,7,6,8,3,10,9,10,8,8,8,8,5,8,8,8,3,10,9,10,9,9,9,10
142,M,22,4,HB,6,4,2,8,3,5,3,6,5,8,6,2,7,4,2,6,8,2,1,6,4,9,7,1
144,F,31,5,HB,5,6,2,1,2,10,5,7,2,10,10,1,7,2,1,3,3,9,5,1,3,10,10,1
147,M,21,4,HB,10,4,4,7,6,7,8,6,3,9,8,4,9,4,3,7,7,7,6,6,4,8,6,4
151,F,19,1,HB,9,5,5,5,3,8,5,10,9,10,8,6,10,2,2,10,8,3,5,8,9,2,6,1
152,M,19,2,HB,6,5,2,6,8,6,4,5,9,10,8,2,9,3,3,3,8,2,2,4,9,7,5,2
153,F,21,4,HB,8,6,2,9,10,2,1,1,2,10,8,10,8,6,3,8,10,2,1,2,2,10,9,10
159,M,18,1,HB,6,4,3,7,4,5,3,8,4,7,9,3,7,3,3,7,7,2,2,8,8,6,7,6
205,M,22,4,HB,9,1,3,7,6,7,6,2,10,8,2,4,9,2,2,6,8,7,5,7,9,8,3,4
206,F,21,4,HB,10,4,2,1,7,8,5,1,8,8,7,1,10,1,1,5,10,5,1,5,10,7,7,1
208,F,19,4,HB,8,3,3,8,2,9,8,3,3,9,9,1,7,3,3,7,3,8,7,3,2,9,8,1
209,M,21,4,HB,7,3,3,6,8,3,2,2,5,6,7,5,7,3,4,6,6,4,4,6,6,4,7,4
214,F,20,3,HB,4,5,7,5,5,4,6,4,4,8,6,1,5,6,7,5,6,6,6,3,3,8,8,1
226,F,20,3,HB,5,7,8,5,4,8,8,3,3,10,10,1,4,8,9,5,5,8,8,2,3,10,10,1
241,M,20,3,HB,8,6,3,5,5,9,7,3,8,10,3,3,8,5,2,3,8,7,6,2,9,10,5,2
244,M,25,3,HB,8,3,2,9,3,7,5,2,1,10,9,1,10,5,4,8,5,8,6,2,3,10,8,2
246,F,19,2,HB,5,6,7,5,7,7,7,7,3,10,10,1,5,8,8,4,7,7,3,4,3,10,10,1
248,F,20,2,HB,8,4,5,6,1,10,6,3,1,10,10,1,8,4,4,6,1,10,4,2,1,10,10,1
255,F,23,2,HB,9,6,5,8,2,9,7,4,4,10,9,3,10,5,5,7,4,7,4,1,6,9,8,4
257,F,20,3,HB,7,2,2,7,9,1,1,8,3,2,4,2,9,2,3,7,9,2,1,7,6,2,3,2
259,F,18,1,HB,9,1,3,6,8,2,2,7,6,5,5,3,9,1,2,7,8,2,4,9,7,6,8,1
