gender,age,PosAffect,NegAffect,TSWLS,SWB,PWB,Locomotion,Assessment,ArcherGarciaRatio,AcademAchieve
2,19,3.6,3.5,4.133333333,-1.23483836,4.444444444,3.166666667,2.916666667,9,13.75
1,18,2.8,3.5,1.533333333,-4.407616247,3.611111111,3.166666667,4.333333333,14,13.75
1,18,2.5,1.6,5,0.479423335,4.166666667,2,1.916666667,6,15
1,18,3.1,2.1,4.066666667,-0.048689192,4,4,3.833333333,9,13.125
1,18,2.6,2.2,5.266666667,-0.016976257,4.333333333,4,3.583333333,8,14.375
1,18,2.2,2.1,2.133333333,-2.861199155,3.055555556,3.333333333,2.75,6,10.625
1,18,2.9,2.8,1.866666667,-3.014770894,3.277777778,3.583333333,3.5,12,11.25
1,18,3.8,1.8,5.533333333,2.534788625,4.666666667,3.833333333,2.416666667,11,13.125
1,18,3.3,2.7,2.266666667,-1.973872226,3.111111111,3,3.416666667,7,10.625
1,18,3.7,2.1,2.8,-0.124147386,3.5,3.166666667,3.083333333,10,15.625
1,18,1.9,3.1,4,-3.296284347,3.666666667,2.75,4.666666667,8,13.75
1,18,3.3,3.6,3.133333333,-2.58512326,3.388888889,4.083333333,4.833333333,11,17.5
1,18,3.9,1.4,3,1.315483575,4.166666667,4.916666667,3.666666667,13,11.25
1,18,2.9,2.4,3.4,-1.27884176,4.055555556,4.5,5.25,8,13.75
1,18,3.4,2.6,3.666666667,-0.615395159,4.111111111,2.666666667,3.5,10,11.875
1,18,2.5,2.7,4.133333333,-1.73757679,4.555555556,4.666666667,4.5,12,15
1,18,2.6,3.4,4,-2.680679089,3.833333333,3.416666667,4.916666667,12,14.375
1,18,3,2.7,4.133333333,-0.994831839,3.388888889,3,3.75,12,11.25
2,18,3.1,2.7,3.666666667,-1.202454688,3.722222222,3.5,4.916666667,10,18.125
2,18,4.3,1.1,4.466666667,3.45331442,5.722222222,4.666666667,3.5,15,16.25
2,18,3.7,1.7,5.933333333,2.832942341,5.222222222,4.166666667,3.583333333,10,15
2,18,3.6,1.4,5.8,3.006867642,4.833333333,3.75,3.25,10,15
2,18,3.4,3.3,4.533333333,-0.943821077,4.777777778,4.75,4.333333333,8,20
2,18,2.9,3.3,1.8,-3.772715375,3.555555556,3.583333333,4.5,2,13.125
2,18,3,2.8,3.2,-1.848588076,3.777777778,3.5,4.083333333,8,13.125
2,18,3.8,2.1,4.733333333,1.499970654,4.5,3.166666667,3.666666667,13,17.5
2,18,3.2,2.3,4.866666667,0.427614979,3.833333333,3.75,3.583333333,13,12.5
2,18,3.7,2.3,1.466666667,-1.42460633,4,3.833333333,3.666666667,10,15
2,18,4.3,1.8,6.666666667,4.14252233,5.222222222,4.25,4.25,12,18.125
2,18,4.6,3.2,4.066666667,0.624007526,4.277777778,4,4.416666667,12,13.75
2,18,3.8,1.3,4.933333333,2.783916192,4.277777778,3.75,3.666666667,13,13.75
2,18,4.2,1.6,2.4,1.020370207,4.111111111,3.5,5.333333333,15,15
2,18,3,3,4.666666667,-1.012015981,4.611111111,4,4.25,11,16.25
2,18,3.2,1.8,5.333333333,1.490849609,3.833333333,3.166666667,3.5,11,14.375
2,18,4.4,1.6,6.4,4.370369671,5.333333333,5.25,3.666666667,13,15
2,18,2.8,2.4,1.6,-2.801196418,3.611111111,3.333333333,4.416666667,8,15.625
2,18,3.5,1.9,4.266666667,0.98097696,4.277777778,3.916666667,3.5,12,17.5
2,18,4.3,2.9,3.2,-0.05886376,3.5,4.666666667,4.25,15,12.5
2,18,3.2,3,4,-1.223734915,3.055555556,3.666666667,3.5,9,13.125
2,18,3.6,2.3,3.2,-0.250231344,4.111111111,3.416666667,4.333333333,13,18.125
2,18,3.8,2.4,5.133333333,1.381023129,4.388888889,3.666666667,3.25,10,13.125
2,18,3.5,1.5,3.8,1.190455352,4.055555556,3.166666667,4.416666667,12,18.125
2,18,2.9,2.3,2.733333333,-1.646246116,3.555555556,3.083333333,3.25,12,15.625
2,18,3.9,2.6,4.066666667,0.432639941,4.5,4.166666667,4.5,10,14.375
2,18,5,5,3.933333333,-1.428985939,4.611111111,4.083333333,3.583333333,2,10
2,18,3.3,2.5,4.6,0.089812088,3.722222222,3.5,4.083333333,13,16.25
2,18,3.6,2.3,4.2,0.512994027,4.055555556,3.5,4.166666667,10,15.625
2,18,3.7,1.4,4,1.781610965,5.222222222,4,3.833333333,12,14.375
2,18,3.4,2.2,4.266666667,0.408190295,3.722222222,3.083333333,4.083333333,11,14.375
2,18,3.3,1.3,4.4,1.63411771,4.333333333,3.5,4,8,16.25
2,18,2.9,2.8,3.8,-1.539201844,3.666666667,3.083333333,4.416666667,12,16.25
2,18,4.5,1.7,6,4.072215955,5.666666667,5.166666667,2.666666667,11,16.875
2,18,3,2.3,3.6,-0.836235138,4.111111111,3.333333333,2.75,9,14.375
2,18,3.8,1.7,5.133333333,2.370911035,5,4.416666667,3.083333333,14,15
2,18,3.2,2.7,2.933333333,-1.613604303,4.444444444,3.916666667,3.583333333,12,10
2,18,3.3,2.8,4.133333333,-0.690597426,3.277777778,3.083333333,3.666666667,15,12.5
2,18,4.2,1.5,4.866666667,3.044405346,5.111111111,4.25,4.166666667,14,18.125
2,18,2.7,2.4,3.2,-1.728584815,3.555555556,3.5,3.583333333,9,16.875
2,18,3.1,1.4,4.466666667,1.246488862,4.611111111,3.25,3,8,13.75
2,18,2.8,1.6,3.066666667,-0.550498744,3.555555556,3.5,4.25,15,15.625
2,18,3.8,2.8,2.2,-1.423421524,3.555555556,3.666666667,3.833333333,9,16.875
2,18,3.4,1.6,2.133333333,-0.371548481,3.722222222,3.083333333,4.583333333,15,18.125
2,18,3.2,2.8,1.8,-2.620005614,3.055555556,3,4.416666667,11,13.75
2,18,3.7,1.9,4.866666667,1.736010163,4.277777778,4.916666667,4.083333333,11,17.5
2,18,4,1.7,4.6,2.260955484,4.388888889,3.666666667,3.666666667,12,17.5
2,18,3.9,2.6,6,1.908208991,5,4.833333333,4.916666667,12,18.125
2,18,2.7,1.2,3.266666667,0.019247572,3.555555556,3.5,3.416666667,10,17.5
2,18,3.4,1.7,3.533333333,0.55555448,4.277777778,3.75,4.166666667,13,17.5
