Movie,ReleaseYear,Director,Duration,Budget,Gross,UserReviews,CriticReviews,IMDBVotes,IMDBScore,InflationTo2016,BudgetInf,GrossInf
Airplane!,1980,Jim Abrahams,88,3500000,83400000,427,134,160281,7.8,2.91,10185000,242694000
Caddyshack,1980,Harold Ramis,98,6000000,39800000,250,71,81599,7.4,2.91,17460000,115818000
Can't Stop the Music,1980,Nancy Walker,124,20000000,2000000,74,26,2998,4.5,2.91,58200000,5820000
Dressed to Kill,1980,Brian De Palma,104,6500000,31899000,201,121,23986,7.1,2.91,18915000,92826090
Heaven's Gate,1980,Michael Cimino,325,44000000,1500000,189,102,9830,6.8,2.91,128040000,4365000
Ordinary People,1980,Robert Redford,124,6000000,54800000,283,62,35130,7.8,2.91,17460000,159468000
Private Benjamin,1980,Howard Zieff,109,10000000,69800000,60,25,18140,6.1,2.91,29100000,203118000
Raging Bull,1980,Martin Scorsese,121,18000000,45250,494,151,235133,8.3,2.91,52380000,131677.5
Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,127,18000000,290158751,900,223,837759,8.8,2.91,52380000,844361965.4
Superman II,1980,Richard Lester,116,54000000,108200000,269,121,76331,6.8,2.91,157140000,314862000
The Blues Brothers,1980,John Landis,148,27000000,54200000,319,125,142448,7.9,2.91,78570000,157722000
The Fog,1980,John Carpenter,89,1000000,21378000,335,212,46493,6.8,2.91,2910000,62209980
Dragonslayer,1981,Matthew Robbins,108,18000000,6000000,102,60,10832,6.7,2.64,47520000,15840000
Friday the 13th Part 2,1981,Steve Miner,87,1250000,19100000,394,242,39690,6.1,2.64,3300000,50424000
Raiders of the Lost Ark,1981,Steven Spielberg,115,18000000,242374454,771,234,661017,8.5,2.64,47520000,639868558.6
Roar,1981,Noel Marshall,102,17000000,2000000,27,50,1275,6.4,2.64,44880000,5280000
Sphinx,1981,Franklin J. Schaffner,118,14000000,800000,21,2,892,5.2,2.64,36960000,2112000
Stripes,1981,Ivan Reitman,117,10000000,85300000,134,52,48629,6.9,2.64,26400000,225192000
The Howling,1981,Joe Dante,91,1000000,17986000,195,161,22773,6.6,2.64,2640000,47483040
The Legend of the Lone Ranger,1981,William A. Fraker,98,18000000,8000000,41,25,1400,5,2.64,47520000,21120000
Under the Rainbow,1981,Steve Rash,98,20000000,8500000,34,13,2061,5.4,2.64,52800000,22440000
Blade Runner,1982,Ridley Scott,117,28000000,27000000,1168,302,461609,8.2,2.49,69720000,67230000
Conan the Barbarian,1982,John Milius,129,20000000,37567440,337,166,113068,6.9,2.49,49800000,93542925.6
Diner,1982,Barry Levinson,110,5000000,14100000,87,42,14995,7.2,2.49,12450000,35109000
E.T. the Extra-Terrestrial,1982,Steven Spielberg,120,10500000,434949459,515,215,281842,7.9,2.49,26145000,1083024153
Firefox,1982,Clint Eastwood,136,21000000,46700000,98,43,19832,5.9,2.49,52290000,116283000
Friday the 13th Part III,1982,Steve Miner,91,4000000,36200000,372,235,31952,5.7,2.49,9960000,90138000
Halloween III: Season of the Witch,1982,Tommy Lee Wallace,98,2500000,14400000,532,162,28589,4.6,2.49,6225000,35856000
Megaforce,1982,Hal Needham,99,20000000,5333658,54,40,2541,3.5,2.49,49800000,13280808.42
Poltergeist,1982,Tobe Hooper,120,10700000,76600000,321,223,105448,7.4,2.49,26643000,190734000
Star Trek II: The Wrath of Khan,1982,Nicholas Meyer,116,11000000,78900000,359,148,91414,7.7,2.49,27390000,196461000
The Best Little Whorehouse in Texas,1982,Colin Higgins,114,35000000,69700000,48,11,7748,5.8,2.49,87150000,173553000
The Thing,1982,John Carpenter,109,15000000,13782838,911,297,258078,8.2,2.49,37350000,34319266.62
The Verdict,1982,Sidney Lumet,129,16000000,54000000,154,79,26310,7.8,2.49,39840000,134460000
Tootsie,1982,Sydney Pollack,116,22000000,177200000,194,94,77366,7.4,2.49,54780000,441228000
