Subject,Session,Trial,Accuracy,Target,Distractor,Pair,Distance,JointRank
1,1,1,0,1,5,4,4,6
1,1,2,0,3,8,20,5,11
1,1,3,0,6,9,33,3,15
1,1,4,0,1,9,8,8,10
1,1,5,0,1,2,1,1,3
1,1,6,0,4,9,26,5,13
1,1,7,1,2,6,12,4,8
1,1,8,0,4,8,25,4,12
1,1,9,1,2,5,11,3,7
1,1,10,1,1,4,3,3,5
1,1,11,1,1,3,2,2,4
1,1,12,0,7,8,34,1,15
1,1,13,1,5,6,27,1,11
1,1,14,1,5,9,30,4,14
1,1,15,1,1,6,5,5,7
1,1,16,1,6,8,32,2,14
1,1,17,1,4,7,24,3,11
1,1,18,0,4,6,23,2,10
1,1,19,1,8,9,36,1,17
1,1,20,1,2,3,9,1,5
1,1,21,0,3,5,17,2,8
1,1,22,1,5,8,29,3,13
1,1,23,1,1,8,7,7,9
1,1,24,1,2,8,14,6,10
1,1,25,1,2,7,13,5,9
1,1,26,0,3,7,19,4,10
1,1,27,1,2,9,15,7,11
1,1,28,0,4,5,22,1,9
1,1,29,1,6,7,31,1,13
1,1,30,0,3,6,18,3,9
1,1,31,0,3,9,21,6,12
1,1,32,1,2,4,10,2,6
1,1,33,1,1,7,6,6,8
1,1,34,0,5,7,28,2,12
1,1,35,1,7,9,35,2,16
1,1,36,0,3,4,16,1,7
1,1,37,1,6,9,33,3,15
1,1,38,1,5,8,29,3,13
1,1,39,0,3,7,19,4,10
1,1,40,0,7,8,34,1,15
1,1,41,1,1,8,7,7,9
1,1,42,1,2,4,10,2,6
1,1,43,1,5,7,28,2,12
1,1,44,0,2,5,11,3,7
1,1,45,1,5,9,30,4,14
1,1,46,1,3,4,16,1,7
1,1,47,1,4,7,24,3,11
1,1,48,1,2,7,13,5,9
1,1,49,1,2,8,14,6,10
1,1,50,1,4,6,23,2,10
1,1,51,0,3,9,21,6,12
1,1,52,1,4,8,25,4,12
1,1,53,0,3,5,17,2,8
1,1,54,1,6,8,32,2,14
1,1,55,1,1,6,5,5,7
1,1,56,1,3,8,20,5,11
1,1,57,0,5,6,27,1,11
1,1,58,1,2,3,9,1,5
1,1,59,1,2,6,12,4,8
1,1,60,0,4,9,26,5,13
1,1,61,1,3,6,18,3,9
1,1,62,1,1,4,3,3,5
1,1,63,1,1,2,1,1,3
1,1,64,1,6,7,31,1,13
1,1,65,1,2,9,15,7,11
1,1,66,0,7,9,35,2,16
1,1,67,1,4,5,22,1,9
1,1,68,1,1,9,8,8,10
1,1,69,1,1,5,4,4,6
1,1,70,1,1,3,2,2,4
1,1,71,0,8,9,36,1,17
1,1,72,1,1,7,6,6,8
1,1,73,1,1,5,4,4,6
1,1,74,1,5,7,28,2,12
1,1,75,1,6,9,33,3,15
1,1,76,1,4,8,25,4,12
1,1,77,1,6,8,32,2,14
1,1,78,1,4,9,26,5,13
1,1,79,0,8,9,36,1,17
1,1,80,1,1,8,7,7,9
1,1,81,0,4,6,23,2,10
1,1,82,0,3,6,18,3,9
1,1,83,1,3,8,20,5,11
1,1,84,1,4,7,24,3,11
1,1,85,1,2,8,14,6,10
1,1,86,1,1,6,5,5,7
1,1,87,0,7,8,34,1,15
1,1,88,0,4,5,22,1,9
1,1,89,1,2,5,11,3,7
1,1,90,1,2,7,13,5,9
1,1,91,1,6,7,31,1,13
1,1,92,1,3,9,21,6,12
1,1,93,1,2,4,10,2,6
1,1,94,1,1,7,6,6,8
1,1,95,1,2,6,12,4,8
1,1,96,1,2,9,15,7,11
1,1,97,0,5,9,30,4,14
1,1,98,1,3,5,17,2,8
1,1,99,0,5,6,27,1,11
1,1,100,1,5,8,29,3,13
1,1,101,1,1,3,2,2,4
1,1,102,1,3,4,16,1,7
1,1,103,1,2,3,9,1,5
1,1,104,0,1,2,1,1,3
1,1,105,1,1,4,3,3,5
1,1,106,0,7,9,35,2,16
1,1,107,1,3,7,19,4,10
1,1,108,1,1,9,8,8,10
1,1,109,0,6,7,31,1,13
1,1,110,0,8,9,36,1,17
1,1,111,1,2,7,13,5,9
1,1,112,1,1,7,6,6,8
1,1,113,1,4,8,25,4,12
1,1,114,1,2,9,15,7,11
1,1,115,1,4,5,22,1,9
1,1,116,1,3,9,21,6,12
1,1,117,1,1,8,7,7,9
1,1,118,1,1,6,5,5,7
1,1,119,1,4,7,24,3,11
1,1,120,0,5,8,29,3,13
1,1,121,1,2,6,12,4,8
1,1,122,1,1,5,4,4,6
1,1,123,0,6,9,33,3,15
1,1,124,1,1,4,3,3,5
1,1,125,1,6,8,32,2,14
1,1,126,1,3,8,20,5,11
1,1,127,1,3,6,18,3,9
1,1,128,0,7,9,35,2,16
1,1,129,1,2,8,14,6,10
1,1,130,0,7,8,34,1,15
1,1,131,1,3,5,17,2,8
1,1,132,1,2,5,11,3,7
1,1,133,1,3,4,16,1,7
1,1,134,1,4,9,26,5,13
1,1,135,1,1,2,1,1,3
1,1,136,1,4,6,23,2,10
1,1,137,0,2,3,9,1,5
1,1,138,1,3,7,19,4,10
1,1,139,1,5,7,28,2,12
1,1,140,1,1,9,8,8,10
1,1,141,1,1,3,2,2,4
1,1,142,1,5,9,30,4,14
1,1,143,1,5,6,27,1,11
1,1,144,1,2,4,10,2,6
1,2,1,0,5,7,28,2,12
1,2,2,0,1,9,8,8,10
1,2,3,1,1,2,1,1,3
1,2,4,1,1,8,7,7,9
1,2,5,0,3,8,20,5,11
1,2,6,0,6,7,31,1,13
1,2,7,0,5,8,29,3,13
1,2,8,1,1,7,6,6,8
1,2,9,1,2,6,12,4,8
1,2,10,0,6,8,32,2,14
1,2,11,0,5,9,30,4,14
1,2,12,1,1,5,4,4,6
1,2,13,1,2,9,15,7,11
1,2,14,0,4,6,23,2,10
1,2,15,1,7,9,35,2,16
1,2,16,0,8,9,36,1,17
1,2,17,1,1,3,2,2,4
1,2,18,0,4,5,22,1,9
1,2,19,0,3,4,16,1,7
1,2,20,1,4,7,24,3,11
1,2,21,1,1,6,5,5,7
1,2,22,0,4,8,25,4,12
1,2,23,1,2,4,10,2,6
1,2,24,1,1,4,3,3,5
1,2,25,1,2,8,14,6,10
1,2,26,1,2,3,9,1,5
1,2,27,0,3,5,17,2,8
1,2,28,1,6,9,33,3,15
1,2,29,1,2,5,11,3,7
1,2,30,1,2,7,13,5,9
1,2,31,1,4,9,26,5,13
1,2,32,0,7,8,34,1,15
1,2,33,0,5,6,27,1,11
1,2,34,0,3,9,21,6,12
1,2,35,1,3,7,19,4,10
1,2,36,0,3,6,18,3,9
1,2,37,1,6,8,32,2,14
1,2,38,1,1,4,3,3,5
1,2,39,0,5,6,27,1,11
1,2,40,1,5,9,30,4,14
1,2,41,1,3,8,20,5,11
1,2,42,0,5,8,29,3,13
1,2,43,1,2,8,14,6,10
1,2,44,1,4,8,25,4,12
1,2,45,1,2,7,13,5,9
1,2,46,1,1,9,8,8,10
1,2,47,1,4,5,22,1,9
