Age,Female,Country,CountryID,Region,RegionID,Ext,Ner,Agr,Con,Ope,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
27,0,AU,5,Oceania,17,3.2,3.7,2.9,3.5,4.4,2,2,3,2,4,2,2,2,3,4,5,2,4,3,2,5,5,1,4,4,5,5,5,3,2,3,2,2,2,4,5,2,5,4,2,2,4,2,3,2,5,1,5,1,5,2,5,1,4,5
32,0,AU,5,Oceania,17,1.6,4.6,2.6,4,4.9,1,3,1,4,2,3,1,5,1,5,5,2,5,1,4,4,4,5,5,5,5,1,3,5,4,3,5,2,5,3,3,1,5,1,2,1,4,3,3,5,4,1,5,1,5,1,5,5,5,5
52,0,AU,5,Oceania,17,3.9,3.1,3.4,3.1,3.7,3,2,4,2,4,2,4,2,4,2,2,3,4,2,2,3,3,3,3,4,4,3,3,4,2,3,2,4,4,3,3,4,3,2,3,4,3,1,2,4,4,2,4,2,4,4,4,3,4,4
26,1,AU,5,Oceania,17,4.3,1.2,3.8,3.3,4.4,4,2,5,2,5,2,5,4,5,1,1,5,2,5,1,1,1,1,2,1,3,5,1,2,3,3,2,4,4,5,4,4,4,2,4,2,2,2,2,3,5,1,5,2,4,1,5,5,2,4
29,1,AU,5,Oceania,17,4.8,2.7,4.7,2.5,4.6,5,1,5,1,4,1,5,1,5,2,2,5,2,4,5,3,4,3,2,3,2,5,1,5,1,4,1,4,5,5,2,4,2,3,3,4,3,3,3,2,5,1,4,1,5,1,5,4,3,5
37,1,AU,5,Oceania,17,3.7,2.4,4.3,3.8,4.7,3,2,4,3,4,2,4,2,4,3,2,3,3,2,2,2,2,2,2,2,1,4,2,4,1,4,1,4,4,4,4,1,5,2,2,3,4,3,4,4,4,1,4,1,5,1,4,5,5,5
32,0,BE,8,WestEurope,16,2.2,2.8,2.5,4.4,4.2,3,5,1,3,1,3,1,4,4,3,4,3,3,2,4,1,1,1,5,2,2,1,5,2,5,4,5,3,4,4,5,1,5,1,3,1,4,1,3,4,5,1,5,2,3,1,5,4,3,3
43,0,CA,12,NorthAmerica,7,2.3,3.4,3.5,3.1,3.9,1,4,5,5,3,4,3,5,4,5,2,5,4,1,3,4,4,5,2,4,2,5,1,3,5,5,3,2,2,5,4,5,4,1,3,4,3,1,1,3,4,1,1,2,4,1,5,5,1,5
48,0,CA,12,NorthAmerica,7,2.9,2,3.4,3.7,3,1,2,4,4,4,3,2,1,2,4,1,4,3,3,1,2,2,2,1,3,2,4,3,4,4,4,3,4,3,3,2,1,2,1,2,1,5,4,5,4,3,2,2,3,3,4,3,2,5,3
56,1,CA,12,NorthAmerica,7,3,3.6,4.9,4,4.4,2,4,4,3,3,2,3,3,4,4,3,3,5,2,3,4,4,3,3,4,1,5,1,5,1,5,1,5,5,4,3,1,4,2,2,1,5,1,3,4,5,1,4,1,4,2,4,5,4,4
35,0,CN,15,EastAsia,9,3.7,2.4,4.1,4,4.2,3,2,3,3,5,1,3,4,5,2,3,3,3,3,3,2,2,2,2,1,1,5,3,5,2,3,2,5,4,3,5,1,5,3,3,2,5,3,3,4,4,3,5,2,4,2,4,5,5,4
25,0,DE,18,WestEurope,16,3.8,1.7,4.3,3.9,4.2,3,2,4,3,4,1,3,2,4,2,2,5,2,4,1,2,2,2,2,1,1,5,1,4,2,5,2,4,4,3,4,1,4,2,4,2,3,3,4,4,4,1,4,1,4,2,4,4,4,4
47,1,DE,18,WestEurope,16,4.4,2.2,4.5,4.4,4.6,3,1,5,2,5,1,5,2,3,1,2,4,4,3,4,2,1,1,2,1,1,5,3,4,1,4,1,5,5,4,4,1,4,2,5,1,5,3,5,4,4,2,4,1,4,1,5,5,5,5
20,0,GB,25,NorthEurope,14,2.3,4.3,3.7,2.4,4.6,3,3,3,3,3,4,1,5,3,5,5,2,4,1,4,3,5,4,5,4,1,3,4,4,2,5,3,4,4,3,1,5,4,4,1,3,4,4,4,2,4,1,5,1,3,1,5,5,5,4
22,0,GB,25,NorthEurope,14,1.3,2.5,2.4,3.7,4.5,1,5,1,4,1,5,1,5,2,4,4,4,4,4,2,2,2,1,4,2,4,1,2,2,4,4,4,1,4,2,5,2,2,2,2,2,4,2,4,4,4,1,5,1,4,1,4,4,5,4
43,0,GB,25,NorthEurope,14,4.8,2,3.7,2.9,4.8,5,1,5,2,5,1,5,2,5,1,2,5,2,3,2,2,2,1,2,3,2,4,3,4,3,3,2,4,4,4,2,3,4,4,2,5,4,2,3,4,5,1,4,1,5,1,4,5,5,5
54,0,GB,25,NorthEurope,14,1.6,4.7,3.6,4.3,3.2,1,2,1,5,2,4,1,5,2,5,4,1,5,1,5,4,4,5,5,5,2,3,3,4,2,4,3,4,4,3,4,1,5,4,3,2,5,1,5,5,4,4,4,5,4,4,3,4,4,4
55,0,GB,25,NorthEurope,14,4,2.2,4,3.6,4.1,4,2,4,2,4,2,4,2,4,2,2,4,4,4,2,2,2,2,2,2,2,4,2,4,2,4,2,4,4,4,4,4,4,2,4,4,4,2,4,4,4,3,5,2,4,2,4,4,4,5
