Gender,Age,WPS,Math1,Math2,SelfImage,SelfReg,Strategies,Motivation,LMA,MEA,Raven,Verbal
0,10,6,91,87,5,5,4.75,4,1.75,2,25,42
0,9.33,6,93,93,3.4286,3.4286,3.0833,4.75,1.0833,1.8889,51,46
1,9.8,7,90,90,2.5714,3.2857,1.9167,2.75,1.5833,3.3333,45,43
0,9.5,6,90,93,4.7143,4.7143,4.4167,5,1.0833,1,39,43
1,9.77,2,86,87,4.8571,5,4.9167,5,1.1667,1.3333,41,42
0,9.32,1,85,77.5,3.5714,3.5714,3.5,4.25,1.5,1.7778,46,43
1,9.53,7,88,88,2.8571,3.7143,4.0833,4.5,1.0833,2.3333,44,43
1,9.52,5,92,92,4.4286,5,4.3333,4.5,1.4167,1.2222,34,42
1,9,5,88,75,1.8571,3.7143,2.1667,4,1.25,2.2222,45,45
0,9.75,6,88,93,4.1429,4.1429,4.1667,3.5,1.8333,2.6667,47,44
1,10,5,83,89,3.8571,4.1429,3.0833,4.5,2.6667,3,46,43
0,10,6,86,91,4.4286,5,5,5,1.0833,2.1111,50,46
1,10,7,88,93,4.7143,5,4.6667,5,1.5,1.5556,51,46
0,10.32,2,87,85,4.8571,4.5714,4.5,5,1.4167,2,37,43
1,9.5,7,89,93,3.5714,3.5714,3.6667,3,2.3333,2.6667,27,39
1,9.55,0,52,67,2.8571,3.4286,3.6667,3.25,2.4167,2.7778,32,39
0,9.65,6,89,87.5,4.1429,4.7143,4.5833,4.75,1.0833,1,44,46
1,10.19,2,50,79,1.5714,2.2857,1.5833,1,1.4167,1.4444,39,39
0,9.65,5,79,91,2.7143,1.4286,1.1667,2,1.9167,2.7778,36,42
1,10,2,85,90.5,2.2857,2.8571,2.5,2.25,1.4167,2.2222,37,44
0,10.42,5,89,91.5,5,5,4.75,5,1.0833,1.3333,17,38
1,10,5,80,85.5,3.5714,2.5714,2.5,3.25,1.0833,1.8889,32,43
0,9.72,3,79,86,2.5714,1.8571,2.5833,2,1.6667,2.2222,30,40
1,10.13,4,93,92,3.2857,3.1429,3.1667,4,1.5,1.7778,45,46
1,9.65,5,91,87.5,3.4286,3.2857,3.1667,3.25,2.6667,2.6667,38,40
0,10.16,1,78,87.5,2.7143,3.7143,3.0833,3.5,2.9167,3.1111,36,44
1,9.5,1,80,78,2,3.1429,2.75,3,2.25,3,40,42
0,9.72,2,88,92,1.4286,1.1429,1.9167,1.25,1.0833,1,45,42
1,9.57,4,92,92,3.7143,3.2857,3.5833,4.25,1.5,1.7778,48,46
1,9.5,4,91,90,3.1429,2.7143,3.5833,3,1.75,1.6667,39,44
1,10.18,4,91,90,3.1429,2.7143,3.5833,3,1.75,1.6667,39,44
0,9,4,83,89,4.2857,4,4.25,4.5,1.0833,2,39,44
1,9.8,4,89,90.5,2.4286,3.4286,3.5833,4.5,1.8333,3.1111,40,43
0,9,4,91,91,4.4286,4.7143,3.8333,4.75,1.0833,1.5556,40,44
0,9.5,4,91,91,4.4286,4.7143,3.8333,4.75,1.0833,1.5556,40,44
1,9.75,7,86,90,3.2857,2.7143,2.9167,3.5,1.4167,1.6667,49,45
0,10,5,87,93,3.7143,2.7143,3.3333,3.75,1.6667,1.7778,40,42
1,10.39,9,90,93,2.4286,2.1429,2.4167,3.25,1.9167,2.5556,50,45
0,10,4,50,70,2.4286,2.2857,3.1667,2.25,2.5,2.3333,43,38
0,9.7,4,87,93,3.7143,2.2857,3,4,1.75,2.8889,48,45
1,10,2,88,91,3.4286,3.5714,3.5,4,1.75,3.2222,43,45
0,9.7,3,93,92,2.4286,2.8571,3.0833,4,2.5833,2.7778,41,45
