group,IDNR,sex,grade,age,a1.1,a1.2,a1.3,a1.4,a1.5,a1.6,a1.7,a1.8,a1.9,a1.10,a1.11,a1.12,a1.13,a1.14,a1.15,a1.16
1,40,2,6,13,1,0,1,1,1,1,1,1,1,-9,-9,0,-9,-9,-9,-9
1,123,2,6,13,1,1,1,1,-9,0,1,1,1,-9,0,0,-9,-9,0,0
1,628,1,5,16,1,1,1,1,1,1,1,0,1,-9,1,0,-9,-9,-9,-9
1,810,2,4,12,-9,-9,1,1,-9,0,-9,-9,1,-9,-9,-9,-9,-9,-9,-9
1,699,1,4,11,1,1,1,1,1,1,1,0,1,0,0,-9,-9,-9,-9,-9
1,424,1,5,12,1,-9,1,1,1,1,1,0,1,0,-9,0,-9,-9,-9,-9
1,379,2,6,15,1,1,1,1,1,1,-9,0,1,1,-9,1,-9,-9,-9,-9
1,348,2,6,15,1,-9,1,1,0,0,1,1,1,-9,1,0,-9,-9,-9,-9
1,151,2,6,14,1,1,1,1,1,1,0,1,1,0,1,-9,-9,0,-9,-9
1,536,2,5,13,-9,-9,1,1,-9,0,-9,0,1,-9,-9,-9,-9,-9,-9,-9
1,520,2,5,13,1,1,1,1,1,1,1,1,1,1,-9,0,-9,-9,-9,-9
1,46,1,6,13,1,1,1,1,1,1,1,1,1,1,0,-9,-9,0,-9,-9
1,885,2,4,14,-9,-9,1,1,-9,1,1,1,1,-9,0,-9,0,-9,-9,-9
1,622,2,5,15,0,0,0,1,-9,-9,1,1,1,-9,-9,0,-9,-9,-9,-9
1,464,2,5,12,1,-9,1,1,0,1,0,0,1,-9,-9,0,-9,-9,-9,-9
1,545,1,5,13,0,-9,1,1,0,1,-9,1,1,-9,0,-9,-9,0,-9,-9
1,685,2,4,11,1,0,1,1,1,1,1,0,0,-9,-9,-9,-9,-9,-9,-9
1,201,1,6,14,1,0,1,1,1,1,1,1,-9,0,-9,0,-9,-9,-9,-9
1,873,2,4,13,1,0,0,1,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9
1,891,2,4,14,0,-9,1,1,-9,-9,1,0,-9,-9,-9,0,-9,-9,-9,-9
1,127,2,6,13,-9,-9,1,1,-9,-9,-9,1,-9,-9,-9,-9,-9,-9,-9,-9
1,804,1,4,12,1,0,0,0,0,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,683,1,4,11,1,0,1,1,-9,0,1,1,-9,-9,-9,-9,-9,-9,0,-9
1,22,2,6,15,0,-9,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,659,2,4,11,1,0,1,1,0,0,1,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,594,2,5,14,0,0,1,1,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,355,2,6,15,1,1,1,1,0,1,1,0,1,-9,-9,0,0,-9,0,-9
1,610,2,5,15,0,1,1,1,-9,1,1,-9,1,-9,-9,-9,-9,-9,-9,-9
