State,Region,Population,Party,Income,SMI
Alabama,AL-1,1338837,0.74487,44588,0.04710
Alabama,AL-2,1544124,0.61408,46879,0.04812
Alabama,AL-3,852364,0.50174,40887,0.04105
Alabama,AL-4,1063952,0.67510,41842,0.04090
Alaska,AK-1,295237,0.53054,77454,0.04195
Alaska,AK-2,165216,0.55340,63541,0.04501
Alaska,AK-3,187203,0.72760,67895,0.04042
Alaska,AK-4,72660,0.47818,69440,0.04445
Arizona,AZ-1,3889161,0.51533,53596,0.04079
Arizona,AZ-2,781082,0.60592,41042,0.04170
Arizona,AZ-3,986891,0.42702,45841,0.04324
Arizona,AZ-4,822569,0.57214,45998,0.04341
Arkansas,AR-1,478552,0.63240,47106,0.05018
Arkansas,AR-2,349388,0.78402,36192,0.05600
Arkansas,AR-3,397849,0.62609,35991,0.05075
Arkansas,AR-4,260267,0.75248,38779,0.05925
Arkansas,AR-5,430739,0.69461,41026,0.05824
Arkansas,AR-6,211601,0.55029,36013,0.04725
Arkansas,AR-7,231184,0.65956,35821,0.05188
Arkansas,AR-8,573789,0.52245,48426,0.04621
California,CA-01,950236,0.54761,42854,0.04453
California,CA-02,1005064,0.50942,63105,0.03861
California,CA-03,1435207,0.36794,55064,0.03579
California,CA-04,1297207,0.25761,70733,0.03303
California,CA-05,817501,0.09846,75604,0.04055
California,CA-06,1812208,0.22060,91702,0.03287
California,CA-07,1065794,0.26642,78756,0.03405
California,CA-08,1535248,0.15705,72112,0.03954
California,CA-09,729543,0.19583,88202,0.03076
California,CA-10,1256305,0.38490,71862,0.03928
California,CA-11,9893481,0.23801,55909,0.03560
California,CA-12,845856,0.46844,53323,0.03795
California,CA-13,175201,0.28000,41807,0.03573
California,CA-14,3051771,0.45398,75422,0.03427
California,CA-15,939605,0.46742,45563,0.03748
California,CA-16,3138265,0.39379,62962,0.03704
California,CA-17,1465136,0.56320,46680,0.03839
California,CA-18,2056915,0.44315,54090,0.03502
California,CA-19,2228528,0.47139,56529,0.03573
California,CA-20,946524,0.49390,46887,0.03872
California,CA-21,1013586,0.31492,61353,0.03646
Colorado,CO-1,858772,0.53076,56523,0.04516
Colorado,CO-2,404334,0.62070,57026,0.05017
Colorado,CO-3,1353672,0.48685,68419,0.04128
Colorado,CO-4,353158,0.56723,39791,0.04601
Colorado,CO-5,619297,0.20404,50313,0.04686
Colorado,CO-6,856266,0.38179,68572,0.04414
Colorado,CO-7,673830,0.62909,57298,0.04338
Connecticut,CT-1,426456,0.46685,71566,0.04199
Connecticut,CT-2,1013942,0.39879,64311,0.03616
Connecticut,CT-3,188629,0.57151,71338,0.03674
Connecticut,CT-4,1028301,0.44091,64413,0.03590
Connecticut,CT-5,926233,0.39630,82283,0.03140
Delaware,DE-1,165030,0.52587,55149,0.03887
Delaware,DE-2,542784,0.34424,64537,0.04300
Delaware,DE-3,200632,0.61417,52710,0.03819
Delaware,DE-4,619371,0.34424,65830,0.03904
Florida,FL-01,1784889,0.32047,51251,0.03089
Florida,FL-02,1455253,0.37151,46871,0.03512
Florida,FL-03,972851,0.56355,52490,0.03579
Florida,FL-04,1388209,0.54074,44980,0.03930
Florida,FL-05,735906,0.58832,41882,0.03728
Florida,FL-06,747232,0.57424,47880,0.03226
Florida,FL-07,1257913,0.46431,49596,0.04124
Florida,FL-08,1174879,0.61920,48833,0.03155
Florida,FL-09,1139426,0.56767,50665,0.04124
Florida,FL-10,1046171,0.65051,42122,0.03385
Florida,FL-11,864367,0.60950,47258,0.03791
Florida,FL-12,527478,0.57073,40250,0.04611
Florida,FL-13,698816,0.70260,49828,0.04181
Florida,FL-14,432369,0.43161,44134,0.04106
Florida,FL-15,295089,0.74952,43020,0.04605
Florida,FL-16,2623288,0.35625,43397,0.03138
Florida,FL-17,1339221,0.42097,52432,0.03110
Florida,FL-18,607799,0.58250,44712,0.03615
Georgia,GA-1,2544451,0.67661,55417,0.04202
Georgia,GA-2,1269391,0.57044,44067,0.04671
Georgia,GA-3,2923686,0.30241,54633,0.03521
Georgia,GA-4,610156,0.59855,34736,0.04711
Georgia,GA-5,1098997,0.62081,42269,0.04371
Georgia,GA-6,1363736,0.58610,50845,0.03846
Hawaii,HI-1,187044,0.29784,51250,0.03980
Hawaii,HI-2,964678,0.33954,72764,0.03176
Hawaii,HI-3,67943,0.31503,62049,0.03611
Hawaii,HI-4,156633,0.28654,63512,0.03948
Idaho,ID-1,214309,0.72979,45897,0.04849
Idaho,ID-2,105852,0.65348,42499,0.04759
Idaho,ID-3,257009,0.75949,41664,0.05334
Idaho,ID-4,444843,0.56736,54148,0.04598
Idaho,ID-5,186676,0.71444,44821,0.04982
Idaho,ID-6,120729,0.70322,44276,0.05014
Idaho,ID-7,253946,0.78670,46610,0.04726
Illinois,IL-01,5212372,0.78052,54548,0.03553
Illinois,IL-02,922803,0.57874,78487,0.03348
Illinois,IL-03,2208227,0.55126,75014,0.03226
Illinois,IL-04,293384,0.50040,47072,0.04318
Illinois,IL-05,670202,0.44232,57707,0.03763
Illinois,IL-06,202428,0.60041,45808,0.04428
Illinois,IL-07,1243931,0.42717,51637,0.04380
Illinois,IL-08,198269,0.45026,55449,0.04023
Illinois,IL-09,701693,0.29247,46664,0.04265
Illinois,IL-10,537312,0.47241,52104,0.04048
Illinois,IL-11,657933,0.27039,44093,0.04379
Indiana,IN-1,1727841,0.53635,55126,0.04357
Indiana,IN-2,544867,0.66693,40237,0.04987
Indiana,IN-3,928653,0.62922,45520,0.04719
Indiana,IN-4,652188,0.67381,48653,0.04932
Indiana,IN-5,743487,0.46464,52140,0.04687
Indiana,IN-6,694992,0.70523,48982,0.05475
Indiana,IN-7,508380,0.67927,48494,0.05020
Indiana,IN-8,714453,0.60192,44209,0.05315
Iowa,IA-1,554966,0.47620,58493,0.04057
Iowa,IA-2,338223,0.54908,49509,0.04389
Iowa,IA-3,740907,0.51924,52287,0.04279
Iowa,IA-4,474483,0.69742,48101,0.03614
Iowa,IA-5,645531,0.50869,49810,0.04496
Iowa,IA-6,308443,0.63715,55067,0.04008
Kansas,KS-1,1418395,0.52509,58542,0.04210
Kansas,KS-2,226324,0.79834,44888,0.04129
Kansas,KS-3,837986,0.65638,49201,0.04102
Kansas,KS-4,215985,0.74342,40158,0.04775
Kansas,KS-5,169417,0.77360,49670,0.03892
Kentucky,KY-1,730272,0.79586,33911,0.05990
Kentucky,KY-2,1276866,0.63099,49441,0.04655
Kentucky,KY-3,967227,0.49805,50663,0.04355
Kentucky,KY-4,485224,0.70136,43891,0.04810
Kentucky,KY-5,415738,0.73893,40595,0.05270
