subject,riskyScenario,riskThoughts,stress,riskPerception,riskTaking,SR,IR,STAI
1,1,3.666666667,5,6,4,31,23,34
1,2,4.666666667,5,5,1,31,23,34
1,3,4.666666667,10,10,1,31,23,34
1,4,3.333333333,5,6,3,31,23,34
1,5,5,10,10,2,31,23,34
1,6,3.666666667,7,7,4,31,23,34
1,7,5,10,10,1,31,23,34
1,8,5,10,10,3,31,23,34
1,9,4.333333333,9,8,4,31,23,34
1,10,5,10,10,2,31,23,34
2,1,4.333333333,7,7,3,30,27,41
2,2,1.333333333,2,2,5,30,27,41
2,3,5,9,9,1,30,27,41
2,4,2,6,7,5,30,27,41
2,5,5,10,9,2,30,27,41
2,6,3.333333333,6,6,5,30,27,41
2,7,5,8,8,1,30,27,41
2,8,4,7,9,3,30,27,41
2,9,4.666666667,8,9,4,30,27,41
2,10,5,8,9,1,30,27,41
3,1,4.333333333,8,7,2,25,25,42
3,2,3,5,7,4,25,25,42
3,3,4.333333333,9,9,1,25,25,42
3,4,4.333333333,8,8,2,25,25,42
3,5,5,10,10,1,25,25,42
3,6,4,7,7,4,25,25,42
3,7,4,7,7,2,25,25,42
3,8,4,9,10,1,25,25,42
3,9,4,7,8,2,25,25,42
3,10,4.333333333,9,9,2,25,25,42
4,1,4.333333333,8,7,2,24,26,47
4,2,4,4,4,5,24,26,47
4,3,5,10,10,1,24,26,47
4,4,3.666666667,8,8,4,24,26,47
4,5,5,10,10,3,24,26,47
4,6,4,8,8,5,24,26,47
4,7,5,10,10,1,24,26,47
4,8,5,10,10,1,24,26,47
4,9,5,9,10,4,24,26,47
4,10,5,10,10,1,24,26,47
5,1,2,3,6,1,16,18,38
5,2,3,7,7,3,16,18,38
5,3,3,6,6,4,16,18,38
5,4,2.666666667,4,4,3,16,18,38
5,5,4,7,8,3,16,18,38
5,6,4,6,6,3,16,18,38
5,7,3.333333333,8,8,2,16,18,38
5,8,3.333333333,5,8,1,16,18,38
5,9,3,7,5,3,16,18,38
5,10,4.333333333,5,10,1,16,18,38
6,1,5,9,8,2,30,25,43
6,2,5,7,6,4,30,25,43
6,3,5,10,10,1,30,25,43
6,4,5,8,6,3,30,25,43
6,5,5,10,10,1,30,25,43
6,6,5,7,6,3,30,25,43
6,7,5,10,10,1,30,25,43
6,8,5,10,10,1,30,25,43
6,9,5,10,10,2,30,25,43
6,10,5,10,10,1,30,25,43
7,1,5,9,8,2,18,19,68
7,2,4.333333333,9,6,4,18,19,68
7,3,5,9,9,4,18,19,68
7,4,4,6,5,3,18,19,68
7,5,5,10,10,5,18,19,68
7,6,5,10,8,2,18,19,68
7,7,5,9,7,1,18,19,68
7,8,5,9,9,4,18,19,68
7,9,4,3,3,4,18,19,68
7,10,5,8,8,3,18,19,68
8,1,4.666666667,8,8,5,22,23,59
8,2,4.333333333,7,7,4,22,23,59
8,3,4.333333333,7,10,2,22,23,59
8,4,4.666666667,7,8,4,22,23,59
8,5,5,10,10,5,22,23,59
8,6,4,7,7,5,22,23,59
8,7,4,6,7,2,22,23,59
8,8,5,10,10,4,22,23,59
8,9,5,10,10,1,22,23,59
8,10,4.333333333,10,10,2,22,23,59
9,1,5,10,7,1,18,19,52
9,2,5,10,10,3,18,19,52
9,3,5,10,10,1,18,19,52
9,4,3.333333333,5,4,3,18,19,52
9,5,5,10,10,1,18,19,52
9,6,5,8,8,1,18,19,52
9,7,3,7,10,3,18,19,52
9,8,3.666666667,10,10,1,18,19,52
9,9,1.666666667,6,6,5,18,19,52
9,10,2.666666667,10,10,1,18,19,52
10,1,4.333333333,9,7,2,23,26,33
10,2,3,7,5,5,23,26,33
10,3,5,10,9,2,23,26,33
10,4,4,8,8,2,23,26,33
10,5,4.666666667,9,10,1,23,26,33
10,6,4,8,6,5,23,26,33
10,7,4,9,8,2,23,26,33
10,8,4.333333333,9,9,3,23,26,33
10,9,5,8,9,2,23,26,33
10,10,4.666666667,8,9,3,23,26,33
11,1,4,4,5,4,25,30,30
11,2,3.333333333,8,8,4,25,30,30
11,3,5,10,10,1,25,30,30
11,4,3.666666667,9,9,1,25,30,30
11,5,5,10,10,2,25,30,30
11,6,3.333333333,6,6,5,25,30,30
11,7,3.666666667,10,10,1,25,30,30
11,8,5,10,10,1,25,30,30
11,9,2,9,9,1,25,30,30
11,10,4,10,10,2,25,30,30
12,1,4,10,9,1,24,18,39
12,2,3.666666667,5,6,1,24,18,39
12,3,4.666666667,9,10,1,24,18,39
12,4,3.666666667,5,5,3,24,18,39
12,5,4.333333333,7,10,2,24,18,39
12,6,3.666666667,5,6,4,24,18,39
12,7,3.666666667,8,8,1,24,18,39
12,8,2.666666667,5,5,2,24,18,39
12,9,3.333333333,5,5,2,24,18,39
12,10,4,6,9,1,24,18,39
13,1,4.333333333,7,8,4,36,30,36
13,2,3,6,4,4,36,30,36
13,3,4.666666667,8,9,1,36,30,36
13,4,2.666666667,5,5,4,36,30,36
13,5,4.666666667,10,9,4,36,30,36
13,6,4,4,4,4,36,30,36
13,7,4.333333333,4,7,1,36,30,36
13,8,4,8,10,2,36,30,36
13,9,2.666666667,4,7,3,36,30,36
13,10,3,9,10,1,36,30,36
14,1,5,10,10,1,19,27,42
14,2,3.666666667,3,9,4,19,27,42
14,3,5,5,10,2,19,27,42
14,4,5,8,10,3,19,27,42
14,5,5,10,10,2,19,27,42
14,6,5,2,8,4,19,27,42
14,7,4,7,9,4,19,27,42
14,8,5,6,9,4,19,27,42
14,9,3.666666667,7,8,5,19,27,42
14,10,5,10,10,2,19,27,42
15,1,4.666666667,7,5,2,20,24,40
15,2,3.666666667,2,2,5,20,24,40
15,3,5,9,6,1,20,24,40
15,4,2.666666667,4,6,3,20,24,40
15,5,4.333333333,6,8,1,20,24,40
15,6,3.666666667,4,6,3,20,24,40
15,7,4.666666667,8,9,1,20,24,40
15,8,5,10,10,1,20,24,40
15,9,3.333333333,10,10,1,20,24,40
15,10,5,10,10,1,20,24,40
16,1,5,10,8,5,29,27,33
16,2,2.333333333,6,7,5,29,27,33
16,3,5,10,8,1,29,27,33
16,4,4.666666667,8,8,5,29,27,33
16,5,3.666666667,10,10,4,29,27,33
16,6,1.333333333,1,2,5,29,27,33
16,7,5,10,9,2,29,27,33
16,8,4,10,9,2,29,27,33
16,9,1.333333333,6,6,5,29,27,33
16,10,2,8,8,2,29,27,33
17,1,4.333333333,8,7,2,17,20,38
17,2,4,6,4,4,17,20,38
17,3,4.666666667,10,9,2,17,20,38
17,4,3.333333333,8,7,2,17,20,38
17,5,4.333333333,8,8,4,17,20,38
17,6,3.333333333,6,6,3,17,20,38
17,7,4.333333333,10,10,1,17,20,38
17,8,4.333333333,10,10,2,17,20,38
17,9,3,5,6,4,17,20,38
17,10,4.666666667,10,10,1,17,20,38
18,1,5,8,10,2,15,18,41
18,2,3.666666667,6,7,4,15,18,41
18,3,5,9,10,1,15,18,41
18,4,2.666666667,5,5,5,15,18,41
18,5,4.333333333,10,8,3,15,18,41
18,6,4,7,6,3,15,18,41
18,7,4.666666667,10,10,1,15,18,41
18,8,5,8,10,2,15,18,41
18,9,3,10,10,1,15,18,41
18,10,5,10,10,1,15,18,41
19,1,3.666666667,7,7,2,34,29,43
19,2,5,7,7,4,34,29,43
19,3,5,10,10,2,34,29,43
19,4,3,7,7,4,34,29,43
19,5,5,10,8,1,34,29,43
19,6,3,7,5,4,34,29,43
19,7,4,8,8,2,34,29,43
19,8,4,8,8,3,34,29,43
19,9,4.333333333,7,7,4,34,29,43
19,10,4,9,9,1,34,29,43
20,1,4,9,7,4,14,15,37
20,2,3.333333333,4,7,4,14,15,37
20,3,4.333333333,10,10,2,14,15,37
20,4,3.333333333,7,7,4,14,15,37
20,5,3.333333333,10,10,1,14,15,37
20,6,3.666666667,8,7,4,14,15,37
20,7,5,9,9,1,14,15,37
20,8,3,6,6,2,14,15,37
20,9,4.333333333,8,8,5,14,15,37
20,10,4,9,7,1,14,15,37
21,1,4.333333333,9,7,4,22,25,55
21,2,3.666666667,7,4,3,22,25,55
21,3,5,10,10,1,22,25,55
21,4,4,7,9,2,22,25,55
21,5,5,10,10,1,22,25,55
21,6,3,5,6,3,22,25,55
21,7,4,9,9,2,22,25,55
21,8,4.666666667,7,9,3,22,25,55
21,9,4.666666667,9,10,2,22,25,55
21,10,4.333333333,4,10,1,22,25,55
22,1,5,10,5,5,28,27,42
22,2,3.666666667,5,10,3,28,27,42
22,3,5,10,10,3,28,27,42
22,4,2.666666667,8,8,5,28,27,42
22,5,5,10,10,3,28,27,42
22,6,5,8,8,3,28,27,42
22,7,5,10,10,1,28,27,42
22,8,5,10,10,1,28,27,42
22,9,5,10,10,4,28,27,42
22,10,5,10,10,3,28,27,42
23,1,1,3,8,4,41,31,31
23,2,1,1,1,5,41,31,31
23,3,4.333333333,7,9,1,41,31,31
23,4,2,2,8,4,41,31,31
23,5,3.666666667,1,9,5,41,31,31
23,6,1,2,7,5,41,31,31
23,7,3.333333333,2,6,1,41,31,31
23,8,3,8,9,3,41,31,31
23,9,4.333333333,9,9,4,41,31,31
23,10,2.666666667,7,9,4,41,31,31
24,1,3.333333333,8,8,4,20,28,54
24,2,3.333333333,7,3,5,20,28,54
24,3,5,10,10,2,20,28,54
24,4,4,6,6,4,20,28,54
24,5,5,10,8,1,20,28,54
24,6,2,7,3,5,20,28,54
24,7,5,8,8,2,20,28,54
24,8,5,10,10,2,20,28,54
24,9,5,9,10,5,20,28,54
24,10,5,10,10,4,20,28,54
25,1,3.666666667,8,8,2,23,22,46
25,2,3.666666667,7,7,2,23,22,46
25,3,4.333333333,9,9,1,23,22,46
25,4,3.666666667,7,6,4,23,22,46
25,5,4.333333333,8,7,1,23,22,46
25,6,3.333333333,6,5,2,23,22,46
25,7,4,8,8,1,23,22,46
25,8,5,10,9,1,23,22,46
25,9,4,7,8,4,23,22,46
25,10,4,8,8,1,23,22,46
26,1,3.333333333,9,8,3,27,26,35
26,2,2.666666667,4,4,4,27,26,35
26,3,3.666666667,10,9,2,27,26,35
26,4,4.333333333,6,6,2,27,26,35
26,5,4.666666667,10,10,1,27,26,35
26,6,3,5,6,4,27,26,35
26,7,4,8,8,2,27,26,35
26,8,4.333333333,10,10,1,27,26,35
26,9,4.333333333,7,7,2,27,26,35
26,10,5,10,10,1,27,26,35
27,1,2.333333333,9,7,2,28,32,48
27,2,4.666666667,10,6,5,28,32,48
27,3,5,10,10,2,28,32,48
27,4,3.666666667,5,5,3,28,32,48
27,5,3,6,7,4,28,32,48
27,6,4.666666667,10,8,4,28,32,48
27,7,5,10,10,4,28,32,48
27,8,4.666666667,10,10,2,28,32,48
27,9,3.666666667,8,8,5,28,32,48
27,10,5,10,10,1,28,32,48
28,1,4.666666667,9,10,1,17,22,55
28,2,4,5,6,3,17,22,55
28,3,5,10,9,1,17,22,55
28,4,4.333333333,5,5,3,17,22,55
28,5,5,10,10,1,17,22,55
28,6,3.333333333,4,3,4,17,22,55
28,7,4.666666667,9,8,2,17,22,55
28,8,5,8,8,4,17,22,55
28,9,3.666666667,7,6,4,17,22,55
28,10,5,9,10,1,17,22,55
29,1,4.333333333,7,8,3,20,17,30
29,2,3,5,4,4,20,17,30
29,3,5,9,9,1,20,17,30
29,4,3,6,6,4,20,17,30
29,5,4.333333333,9,8,4,20,17,30
29,6,3,4,4,5,20,17,30
29,7,4,7,7,2,20,17,30
29,8,4.333333333,8,7,4,20,17,30
29,9,4,9,8,2,20,17,30
29,10,4,9,7,3,20,17,30
30,1,3.666666667,10,7,5,21,30,54
30,2,4,9,10,3,21,30,54
30,3,4.333333333,10,10,5,21,30,54
30,4,2,2,5,5,21,30,54
30,5,4.333333333,4,10,1,21,30,54
30,6,3.666666667,8,7,3,21,30,54
30,7,4.666666667,10,8,3,21,30,54
30,8,3.333333333,6,9,2,21,30,54
30,9,4,7,7,4,21,30,54
30,10,2.333333333,10,10,2,21,30,54
31,1,3.333333333,6,5,4,34,33,33
31,2,4,7,7,1,34,33,33
31,3,3,4,7,2,34,33,33
31,4,3,7,8,1,34,33,33
31,5,4.666666667,5,7,4,34,33,33
31,6,2.666666667,3,5,5,34,33,33
31,7,5,8,7,1,34,33,33
31,8,1.666666667,2,9,3,34,33,33
31,9,4.666666667,5,5,3,34,33,33
31,10,4.666666667,9,9,1,34,33,33
32,1,4,8,9,4,24,20,47
32,2,3,5,9,2,24,20,47
