Subject,Change,Ndist,Correct,Reaction,MMI
1,1,6,0,976,1.777777778
1,1,6,1,807,1.777777778
1,1,2,1,622,1.777777778
1,0,2,1,710,1.777777778
1,0,4,1,598,1.777777778
1,1,0,1,574,1.777777778
1,0,6,1,791,1.777777778
1,0,4,1,622,1.777777778
1,1,4,1,766,1.777777778
1,1,0,1,668,1.777777778
1,0,2,0,1246,1.777777778
1,1,4,1,992,1.777777778
1,0,0,1,797,1.777777778
1,0,0,1,878,1.777777778
1,1,2,1,1191,1.777777778
1,0,6,1,990,1.777777778
1,1,0,1,1666,1.777777778
1,0,6,1,789,1.777777778
1,1,6,1,758,1.777777778
1,1,2,1,654,1.777777778
1,0,4,1,726,1.777777778
1,1,6,1,1408,1.777777778
1,1,4,1,718,1.777777778
1,1,4,1,766,1.777777778
1,0,2,1,750,1.777777778
1,0,0,1,649,1.777777778
1,0,0,1,656,1.777777778
1,0,6,1,1418,1.777777778
1,1,2,1,671,1.777777778
1,0,2,0,809,1.777777778
1,1,0,1,767,1.777777778
1,0,4,1,649,1.777777778
1,1,4,1,1038,1.777777778
1,0,6,1,820,1.777777778
1,1,2,1,654,1.777777778
1,0,0,1,756,1.777777778
1,0,0,1,1087,1.777777778
1,1,2,1,773,1.777777778
1,0,2,1,702,1.777777778
1,1,0,1,926,1.777777778
1,0,4,1,838,1.777777778
1,1,6,0,1702,1.777777778
1,1,4,1,822,1.777777778
1,1,6,0,1030,1.777777778
1,0,6,1,518,1.777777778
1,1,0,1,599,1.777777778
1,0,4,1,925,1.777777778
1,0,2,1,629,1.777777778
1,0,2,1,1077,1.777777778
1,1,2,1,917,1.777777778
1,0,2,1,734,1.777777778
1,0,4,1,1638,1.777777778
1,1,0,1,567,1.777777778
1,1,4,1,549,1.777777778
1,1,0,1,1139,1.777777778
1,0,0,1,1174,1.777777778
1,1,2,1,670,1.777777778
1,0,6,1,680,1.777777778
1,1,4,1,861,1.777777778
1,1,6,1,1260,1.777777778
1,0,0,1,1102,1.777777778
1,1,6,1,750,1.777777778
1,0,4,1,678,1.777777778
1,0,6,1,670,1.777777778
1,1,0,1,684,1.777777778
1,0,4,0,920,1.777777778
1,1,4,1,624,1.777777778
1,1,6,1,922,1.777777778
1,1,2,1,744,1.777777778
1,1,6,1,865,1.777777778
1,0,4,1,1009,1.777777778
1,1,2,1,1080,1.777777778
1,1,4,1,519,1.777777778
1,0,6,1,719,1.777777778
1,0,2,1,673,1.777777778
1,1,0,1,615,1.777777778
1,0,6,1,781,1.777777778
1,0,0,1,1399,1.777777778
1,0,0,1,565,1.777777778
1,0,2,1,591,1.777777778
